x,y,z,layer_angle_deg
20.0,0.0,0.0,0
19.318516525781366,5.176380902050415,0.0,0
17.320508075688775,9.999999999999998,0.0,0
14.142135623730951,14.142135623730951,0.0,0
10.000000000000002,17.32050807568877,0.0,0
5.176380902050419,19.318516525781362,0.0,0
1.2246467991473533e-15,20.0,0.0,0
-5.176380902050413,19.318516525781366,0.0,0
-9.999999999999996,17.320508075688775,0.0,0
-14.14213562373095,14.142135623730951,0.0,0
-17.32050807568877,10.000000000000007,0.0,0
-19.318516525781362,5.17638090205042,0.0,0
-20.0,2.4492935982947065e-15,0.0,0
-19.31851652578137,-5.176380902050407,0.0,0
-17.320508075688778,-9.999999999999995,0.0,0
-14.142135623730958,-14.142135623730942,0.0,0
-10.000000000000009,-17.32050807568877,0.0,0
-5.176380902050431,-19.318516525781362,0.0,0
-3.673940397442059e-15,-20.0,0.0,0
5.176380902050406,-19.31851652578137,0.0,0
9.999999999999986,-17.32050807568878,0.0,0
14.142135623730947,-14.142135623730955,0.0,0
17.320508075688767,-10.000000000000009,0.0,0
19.318516525781362,-5.176380902050432,0.0,0
20.0,0.0,2.5,4
19.318516525781366,5.176380902050415,2.5,4
17.320508075688775,9.999999999999998,2.5,4
14.142135623730951,14.142135623730951,2.5,4
10.000000000000002,17.32050807568877,2.5,4
5.176380902050419,19.318516525781362,2.5,4
1.2246467991473533e-15,20.0,2.5,4
-5.176380902050413,19.318516525781366,2.5,4
-9.999999999999996,17.320508075688775,2.5,4
-14.14213562373095,14.142135623730951,2.5,4
-17.32050807568877,10.000000000000007,2.5,4
-19.318516525781362,5.17638090205042,2.5,4
-20.0,2.4492935982947065e-15,2.5,4
-19.31851652578137,-5.176380902050407,2.5,4
-17.320508075688778,-9.999999999999995,2.5,4
-14.142135623730958,-14.142135623730942,2.5,4
-10.000000000000009,-17.32050807568877,2.5,4
-5.176380902050431,-19.318516525781362,2.5,4
-3.673940397442059e-15,-20.0,2.5,4
5.176380902050406,-19.31851652578137,2.5,4
9.999999999999986,-17.32050807568878,2.5,4
14.142135623730947,-14.142135623730955,2.5,4
17.320508075688767,-10.000000000000009,2.5,4
19.318516525781362,-5.176380902050432,2.5,4
20.0,0.0,5.0,8
19.318516525781366,5.176380902050415,5.0,8
17.320508075688775,9.999999999999998,5.0,8
14.142135623730951,14.142135623730951,5.0,8
10.000000000000002,17.32050807568877,5.0,8
5.176380902050419,19.318516525781362,5.0,8
1.2246467991473533e-15,20.0,5.0,8
-5.176380902050413,19.318516525781366,5.0,8
-9.999999999999996,17.320508075688775,5.0,8
-14.14213562373095,14.142135623730951,5.0,8
-17.32050807568877,10.000000000000007,5.0,8
-19.318516525781362,5.17638090205042,5.0,8
-20.0,2.4492935982947065e-15,5.0,8
-19.31851652578137,-5.176380902050407,5.0,8
-17.320508075688778,-9.999999999999995,5.0,8
-14.142135623730958,-14.142135623730942,5.0,8
-10.000000000000009,-17.32050807568877,5.0,8
-5.176380902050431,-19.318516525781362,5.0,8
-3.673940397442059e-15,-20.0,5.0,8
5.176380902050406,-19.31851652578137,5.0,8
9.999999999999986,-17.32050807568878,5.0,8
14.142135623730947,-14.142135623730955,5.0,8
17.320508075688767,-10.000000000000009,5.0,8
19.318516525781362,-5.176380902050432,5.0,8
20.0,0.0,7.5,12
19.318516525781366,5.176380902050415,7.5,12
17.320508075688775,9.999999999999998,7.5,12
14.142135623730951,14.142135623730951,7.5,12
10.000000000000002,17.32050807568877,7.5,12
5.176380902050419,19.318516525781362,7.5,12
1.2246467991473533e-15,20.0,7.5,12
-5.176380902050413,19.318516525781366,7.5,12
-9.999999999999996,17.320508075688775,7.5,12
-14.14213562373095,14.142135623730951,7.5,12
-17.32050807568877,10.000000000000007,7.5,12
-19.318516525781362,5.17638090205042,7.5,12
-20.0,2.4492935982947065e-15,7.5,12
-19.31851652578137,-5.176380902050407,7.5,12
-17.320508075688778,-9.999999999999995,7.5,12
-14.142135623730958,-14.142135623730942,7.5,12
-10.000000000000009,-17.32050807568877,7.5,12
-5.176380902050431,-19.318516525781362,7.5,12
-3.673940397442059e-15,-20.0,7.5,12
5.176380902050406,-19.31851652578137,7.5,12
9.999999999999986,-17.32050807568878,7.5,12
14.142135623730947,-14.142135623730955,7.5,12
17.320508075688767,-10.000000000000009,7.5,12
19.318516525781362,-5.176380902050432,7.5,12
20.0,0.0,10.0,16
19.318516525781366,5.176380902050415,10.0,16
17.320508075688775,9.999999999999998,10.0,16
14.142135623730951,14.142135623730951,10.0,16
10.000000000000002,17.32050807568877,10.0,16
5.176380902050419,19.318516525781362,10.0,16
1.2246467991473533e-15,20.0,10.0,16
-5.176380902050413,19.318516525781366,10.0,16
-9.999999999999996,17.320508075688775,10.0,16
-14.14213562373095,14.142135623730951,10.0,16
-17.32050807568877,10.000000000000007,10.0,16
-19.318516525781362,5.17638090205042,10.0,16
-20.0,2.4492935982947065e-15,10.0,16
-19.31851652578137,-5.176380902050407,10.0,16
-17.320508075688778,-9.999999999999995,10.0,16
-14.142135623730958,-14.142135623730942,10.0,16
-10.000000000000009,-17.32050807568877,10.0,16
-5.176380902050431,-19.318516525781362,10.0,16
-3.673940397442059e-15,-20.0,10.0,16
5.176380902050406,-19.31851652578137,10.0,16
9.999999999999986,-17.32050807568878,10.0,16
14.142135623730947,-14.142135623730955,10.0,16
17.320508075688767,-10.000000000000009,10.0,16
19.318516525781362,-5.176380902050432,10.0,16
20.0,0.0,12.5,20
19.318516525781366,5.176380902050415,12.5,20
17.320508075688775,9.999999999999998,12.5,20
14.142135623730951,14.142135623730951,12.5,20
10.000000000000002,17.32050807568877,12.5,20
5.176380902050419,19.318516525781362,12.5,20
1.2246467991473533e-15,20.0,12.5,20
-5.176380902050413,19.318516525781366,12.5,20
-9.999999999999996,17.320508075688775,12.5,20
-14.14213562373095,14.142135623730951,12.5,20
-17.32050807568877,10.000000000000007,12.5,20
-19.318516525781362,5.17638090205042,12.5,20
-20.0,2.4492935982947065e-15,12.5,20
-19.31851652578137,-5.176380902050407,12.5,20
-17.320508075688778,-9.999999999999995,12.5,20
-14.142135623730958,-14.142135623730942,12.5,20
-10.000000000000009,-17.32050807568877,12.5,20
-5.176380902050431,-19.318516525781362,12.5,20
-3.673940397442059e-15,-20.0,12.5,20
5.176380902050406,-19.31851652578137,12.5,20
9.999999999999986,-17.32050807568878,12.5,20
14.142135623730947,-14.142135623730955,12.5,20
17.320508075688767,-10.000000000000009,12.5,20
19.318516525781362,-5.176380902050432,12.5,20
20.0,0.0,15.0,24
19.318516525781366,5.176380902050415,15.0,24
17.320508075688775,9.999999999999998,15.0,24
14.142135623730951,14.142135623730951,15.0,24
10.000000000000002,17.32050807568877,15.0,24
5.176380902050419,19.318516525781362,15.0,24
1.2246467991473533e-15,20.0,15.0,24
-5.176380902050413,19.318516525781366,15.0,24
-9.999999999999996,17.320508075688775,15.0,24
-14.14213562373095,14.142135623730951,15.0,24
-17.32050807568877,10.000000000000007,15.0,24
-19.318516525781362,5.17638090205042,15.0,24
-20.0,2.4492935982947065e-15,15.0,24
-19.31851652578137,-5.176380902050407,15.0,24
-17.320508075688778,-9.999999999999995,15.0,24
-14.142135623730958,-14.142135623730942,15.0,24
-10.000000000000009,-17.32050807568877,15.0,24
-5.176380902050431,-19.318516525781362,15.0,24
-3.673940397442059e-15,-20.0,15.0,24
5.176380902050406,-19.31851652578137,15.0,24
9.999999999999986,-17.32050807568878,15.0,24
14.142135623730947,-14.142135623730955,15.0,24
17.320508075688767,-10.000000000000009,15.0,24
19.318516525781362,-5.176380902050432,15.0,24
20.0,0.0,17.5,28
19.318516525781366,5.176380902050415,17.5,28
17.320508075688775,9.999999999999998,17.5,28
14.142135623730951,14.142135623730951,17.5,28
10.000000000000002,17.32050807568877,17.5,28
5.176380902050419,19.318516525781362,17.5,28
1.2246467991473533e-15,20.0,17.5,28
-5.176380902050413,19.318516525781366,17.5,28
-9.999999999999996,17.320508075688775,17.5,28
-14.14213562373095,14.142135623730951,17.5,28
-17.32050807568877,10.000000000000007,17.5,28
-19.318516525781362,5.17638090205042,17.5,28
-20.0,2.4492935982947065e-15,17.5,28
-19.31851652578137,-5.176380902050407,17.5,28
-17.320508075688778,-9.999999999999995,17.5,28
-14.142135623730958,-14.142135623730942,17.5,28
-10.000000000000009,-17.32050807568877,17.5,28
-5.176380902050431,-19.318516525781362,17.5,28
-3.673940397442059e-15,-20.0,17.5,28
5.176380902050406,-19.31851652578137,17.5,28
9.999999999999986,-17.32050807568878,17.5,28
14.142135623730947,-14.142135623730955,17.5,28
17.320508075688767,-10.000000000000009,17.5,28
19.318516525781362,-5.176380902050432,17.5,28
