ray_id,event_index,event_type,layer_index,x,y,z,dir_x,dir_y,dir_z,energy_kev,intensity,cumulative_distance,cumulative_steering_deg
0,0,emitted,,-4.0,-4.0,-10.0,0.3481553119113957,0.3481553119113957,0.8703882797784892,60.0,1.0,0.0,0.0
0,1,layer_enter,0,0.0,0.0,0.0,0.3481553119113957,0.3481553119113957,0.8703882797784892,60.0,1.0,11.489125293076057,0.0
0,2,layer_exit,0,0.0,0.0,0.0,0.3632926561880057,0.3481553119113957,0.8641795674208818,60.0,0.98,11.489125293076057,1.0
0,3,layer_enter,1,1.0509756012637566,1.0071845164959607,2.5,0.3632926561880057,0.3481553119113957,0.8641795674208818,60.0,0.98,14.382042568893137,1.0
0,4,layer_exit,1,1.0509756012637566,1.0071845164959607,2.5,0.3783193380022459,0.3481553119113957,0.8577076175955425,60.0,0.9603999999999999,14.382042568893137,2.0
0,5,layer_enter,2,2.153680445668685,2.0219688811475134,5.0,0.3783193380022459,0.3481553119113957,0.8577076175955425,60.0,0.9603999999999999,17.296788746627204,2.0
0,6,layer_exit,2,2.153680445668685,2.0219688811475134,5.0,0.3932307800812688,0.3481553119113957,0.8509744017210833,60.0,0.9411919999999999,17.296788746627204,3.0
0,7,layer_enter,3,3.3089172521048287,3.0447825850828396,7.5,0.3932307800812688,0.3481553119113957,0.8509744017210833,60.0,0.9411919999999999,20.234597445624242,3.0
0,8,layer_exit,3,3.3089172521048287,3.0447825850828396,7.5,0.40802244025536694,0.3481553119113957,0.8439819708002858,60.0,0.9223681599999999,20.234597445624242,4.0
0,9,layer_enter,4,4.517540345879182,4.076070349385629,10.0,0.40802244025536694,0.3481553119113957,0.8439819708002858,60.0,0.9223681599999999,23.196746029947004,4.0
0,10,layer_exit,4,4.517540345879182,4.076070349385629,10.0,0.42268981284156104,0.34815531191139565,0.8367324547953454,60.0,0.9039207967999998,23.196746029947004,5.0
0,11,detector_hit,,9.569212602872557,8.236962040823009,20.0,0.42268981284156104,0.34815531191139565,0.8367324547953454,60.0,0.9039207967999998,35.14799752340781,5.0
1,0,emitted,,-2.0,-4.0,-10.0,0.18257418583505536,0.3651483716701107,0.9128709291752768,60.0,1.0,0.0,0.0
